Country Name,Country Code,Population (2024),Country Numeric
"Korea, Dem. People's Rep.",PRK,26498823,408
Portugal,PRT,10701636,620
Paraguay,PRY,6929153,600
West Bank and Gaza,PSE,5289152,275
Pacific island small states,PSS,2722467,
Post-demographic dividend,PST,1128430188,
French Polynesia,PYF,281807,258
Qatar,QAT,2857822,634
Romania,ROU,19069340,642
Russian Federation,RUS,143533851,643
Rwanda,RWA,14256567,646
South Asia,SAS,1677384532,
Saudi Arabia,SAU,35300280,682
Sudan,SDN,50448963,729
Senegal,SEN,18501984,686
Singapore,SGP,6036860,702
Solomon Islands,SLB,819198,90
Sierra Leone,SLE,8642022,694
El Salvador,SLV,6338193,222
San Marino,SMR,33977,674
Somalia,SOM,19009151,706
Serbia,SRB,6587202,688
Sub-Saharan Africa (excluding high income),SSA,1158877573,
South Sudan,SSD,11943408,728
Sub-Saharan Africa,SSF,1291058694,
Small states,SST,20230689,
Sao Tome and Principe,STP,235536,678
Suriname,SUR,634431,740
Slovak Republic,SVK,5422069,703
Slovenia,SVN,2126324,705
Sweden,SWE,10569709,752
Eswatini,SWZ,1242822,748
Sint Maarten (Dutch part),SXM,43350,534
Seychelles,SYC,121354,690
Syrian Arab Republic,SYR,24672760,760
Turks and Caicos Islands,TCA,46535,796
Chad,TCD,20299123,148
East Asia & Pacific (IDA & IBRD countries),TEA,2114653077,
Europe & Central Asia (IDA & IBRD countries),TEC,459954508,
Togo,TGO,9515236,768
Thailand,THA,71668011,764
Tajikistan,TJK,10590927,762
Turkmenistan,TKM,7494498,795
Latin America & the Caribbean (IDA & IBRD countries),TLA,647003746,
Timor-Leste,TLS,1400638,626
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,736401764,
Tonga,TON,104175,776
South Asia (IDA & IBRD),TSA,1677384532,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1291058694,
Trinidad and Tobago,TTO,1368333,780
Tunisia,TUN,12277109,788
Turkiye,TUR,85518661,792
Tuvalu,TUV,9646,798
Tanzania,TZA,68560157,834
Uganda,UGA,50015092,800
Ukraine,UKR,37860221,804
Upper middle income,UMC,2818128105,
Uruguay,URY,3386588,858
United States,USA,340110988,840
Uzbekistan,UZB,36361859,860
St. Vincent and the Grenadines,VCT,100616,670
"Venezuela, RB",VEN,28405543,862
British Virgin Islands,VGB,39471,92
Virgin Islands (U.S.),VIR,104377,850
Viet Nam,VNM,100987686,704
Vanuatu,VUT,327777,548
World,WLD,8142056446,
Samoa,WSM,218019,882
Kosovo,XKX,1527324,
"Yemen, Rep.",YEM,40583164,887
South Africa,ZAF,64007187,710
Zambia,ZMB,21314956,894
Zimbabwe,ZWE,16634373,716
